response_id,preferred_remote_time_after_covid,employer_encourage_remote_future,employer_support_remote_future,remote_work_choice_future,remote_productivity,commute_hours_office,work_hours_office,personal_family_hours_office,caring_hours_office,commute_hours_remote,work_hours_remote,personal_family_hours_remote,caring_hours_remote
295,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
296,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
297,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
298,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
299,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
300,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
301,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
302,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
303,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
304,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6,2,1,0,6,2,1
305,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6.25,2,1,0,6,2,1
306,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6.25,2,1,0,6,2,1
307,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6,2,1
308,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6,2,1
309,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6.25,2,1
310,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6.25,2,1
311,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6.5,2,1
312,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6.5,2,1
313,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6.5,2,1
314,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6.5,2,1
315,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6.5,2,1
316,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,6.5,2,1,0,6.5,2,1
317,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,6.5,2,1
318,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,6.9,2,1
319,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
320,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
321,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
322,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
323,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
324,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
325,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
326,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
327,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
328,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
329,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
330,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
331,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
332,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
333,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
334,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
335,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
336,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
337,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
338,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
339,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
340,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
341,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
342,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
343,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
344,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
345,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
346,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
347,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
348,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
349,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
350,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
351,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
352,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
353,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
354,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
355,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
356,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
357,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
358,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
359,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
360,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
361,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
362,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
363,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
364,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
365,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
366,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
367,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
368,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
369,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
370,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
371,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
372,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
373,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
374,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
375,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2,1
376,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
377,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
378,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
379,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
380,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
381,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
382,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
383,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
384,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,2.5,1
385,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
386,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
387,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
388,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
389,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
390,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
391,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
392,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
393,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
394,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
395,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
396,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
397,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
398,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
399,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
400,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
401,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
402,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
403,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
404,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
405,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
406,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
407,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
408,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
409,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
410,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
411,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
412,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
413,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
414,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
415,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
416,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
417,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
418,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
419,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
420,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
421,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
422,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
423,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
424,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
425,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
426,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
427,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
428,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
429,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
430,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
431,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
432,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
433,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
434,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
435,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
436,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
437,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
438,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
439,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
440,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
441,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
442,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
443,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
444,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
445,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
446,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
447,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
448,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
449,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
450,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
451,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
452,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
453,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
454,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
455,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
456,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
457,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
458,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
459,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
460,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
461,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
462,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
463,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
464,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
465,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
466,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
467,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
468,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
469,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
470,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
471,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
472,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1
473,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.2
474,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
475,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
476,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
477,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
478,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
479,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
480,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
481,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
482,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
483,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
484,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
485,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
486,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
487,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
488,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
489,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
490,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7,3,1.5
491,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7.35,3,1.5
492,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7.5,3,1.5
493,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7.5,3,1.5
494,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7.5,3,1.5
495,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7.5,3,1.5
496,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1,7,2,1,0,7.5,3,1.5
497,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,1.5
498,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,1.5
499,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,1.5
500,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,1.5
501,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
502,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
503,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
504,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
505,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
506,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
507,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
508,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
509,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
510,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
511,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
512,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
513,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
514,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
515,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
516,70%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% less productive when working remotely,1,7,2,1,0,7.5,3,2
