response_id,birth_year,gender,industry,industry_detail,occupation,occupation_detail,company_size,is_manager,household_type,job_tenure,region_type
748,1975,Male,Financial and Insurance Services,Finance,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro
363,1985,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,Yes,Group household,Between 1 and 5 years,Metro
1343,1960,Male,Financial and Insurance Services,Auxiliary Finance and Insurance Services,Community and personal service ,Health and Welfare Support ,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro
1109,1965,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Professionals,ICT Professionals,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro
232,1988,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Sales ,Sales Representatives and Agents,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro
160,1990,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Managers,Specialist Managers,Between 5 and 19,No,Group household,Between 1 and 5 years,Metro
159,1990,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Group household,Between 1 and 5 years,Metro
33,1996,Male,"Transport, Postal and Warehousing",Air and Space Transport,Managers,"Chief Executives, General Managers and Legislators",More than 200,No,Group household,Between 1 and 5 years,Metro
420,1984,Female,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Group household,Between 1 and 5 years,Metro
327,1986,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Group household,Between 1 and 5 years,Metro
22,1997,Male,Education and Training,Tertiary Education,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Group household,Between 1 and 5 years,Metro
364,1985,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro
560,1980,Female,"Electricity, Gas, Water and Waste Services",Electricity Supply,Professionals,ICT Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro
125,1991,Male,Information Media and Telecommunications,Library and Other Information Services,Professionals,ICT Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro
767,1974,Male,Retail Trade,Other Store-Based Retailing,Professionals,ICT Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro
244,1988,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Group household,Between 1 and 5 years,Metro
109,1992,Female,Retail Trade,Other Store-Based Retailing,Clerical and administrative ,Other Clerical and Administrative ,More than 200,NA,Group household,Between 1 and 5 years,Metro
99,1992,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Group household,Between 1 and 5 years,Metro
97,1992,Female,Retail Trade,Other Store-Based Retailing,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,Yes,Multiple family household,Between 1 and 5 years,Metro
16,1998,Male,Financial and Insurance Services,Finance,Professionals,"Legal, Social and Welfare Professionals",Between 20 and 199,No,Multiple family household,Between 1 and 5 years,Metro
926,1970,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 5 and 19,No,Multiple family household,Between 1 and 5 years,Metro
568,1979,Female,Information Media and Telecommunications,Internet Publishing and Broadcasting,Managers,Specialist Managers,Between 5 and 19,Yes,Multiple family household,Between 1 and 5 years,Metro
1398,1959,Male,"Transport, Postal and Warehousing",Warehousing and Storage Services,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,NA,Multiple family household,Between 1 and 5 years,Metro
60,1995,Female,Public Administration and Safety,Public Administration,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,NA,Multiple family household,Between 1 and 5 years,Metro
149,1990,Female,Other Services,Personal and Other Services,Managers,Specialist Managers,More than 200,Yes,Multiple family household,Between 1 and 5 years,Metro
506,1981,Female,Manufacturing,Machinery and Equipment Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
1031,1967,Male,Other Services,Personal and Other Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
521,1981,Female,Manufacturing,Basic Chemical and Chemical Product Manufacturing,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,NA,One  parent family with dependent children,Between 1 and 5 years,Metro
1173,1964,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Health Professionals,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro
831,1972,Male,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,"Hospitality, Retail and Service Managers",Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
739,1975,Female,Other Services,Personal and Other Services,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro
848,1972,Female,Wholesale Trade,Other Goods Wholesaling,Sales ,Sales Representatives and Agents,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro
867,1971,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Sales ,Sales Support ,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro
1132,1965,Female,Financial and Insurance Services,Auxiliary Finance and Insurance Services,Managers,Specialist Managers,Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
892,1971,Female,Construction,Building Construction,Managers,Specialist Managers,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro
386,1985,Male,Construction,Heavy and Civil Engineering Construction,Managers,Specialist Managers,Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
802,1973,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
466,1982,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
141,1990,Female,Other Services,Private Households Employing Staff and Undifferentiated Goods,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
1093,1966,Female,Construction,Building Construction,Clerical and administrative ,Other Clerical and Administrative ,Between 5 and 19,No,One  parent family with dependent children,Between 1 and 5 years,Metro
930,1970,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 5 and 19,No,One  parent family with dependent children,Between 1 and 5 years,Metro
738,1975,Female,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,Between 5 and 19,No,One  parent family with dependent children,Between 1 and 5 years,Metro
37,1996,Female,Other Services,Personal and Other Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,One  parent family with dependent children,Between 1 and 5 years,Metro
396,1984,Male,"Transport, Postal and Warehousing",Other Transport,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
854,1972,Female,Wholesale Trade,Commission-Based Wholesaling,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
1204,1963,Female,Financial and Insurance Services,Finance,Clerical and administrative ,Office Managers and Program Administrators,More than 200,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
897,1971,Female,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,More than 200,No,One  parent family with dependent children,Between 1 and 5 years,Metro
88,1993,Male,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,More than 200,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro
23,1997,Female,Health Care and Social Assistance,Social Assistance Services,Sales ,Sales Assistants and Salespersons,More than 200,No,One  parent family with dependent children,Between 1 and 5 years,Metro
861,1972,Female,Retail Trade,Other Store-Based Retailing,Managers,Specialist Managers,More than 200,NA,One  parent family with dependent children,Between 1 and 5 years,Metro
266,1987,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Clerical and administrative ,Other Clerical and Administrative ,Between 1 and 4,No,Other one family household,Between 1 and 5 years,Metro
1037,1967,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Other one family household,Between 1 and 5 years,Metro
71,1994,Male,Public Administration and Safety,Public Administration,Clerical and administrative ,General Clerical ,Between 20 and 199,No,Other one family household,Between 1 and 5 years,Metro
1421,1958,Female,Other Services,Personal and Other Services,Managers,Specialist Managers,Between 20 and 199,Yes,Other one family household,Between 1 and 5 years,Metro
148,1990,Rather not say,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Clerical and administrative ,Office Managers and Program Administrators,Between 5 and 19,No,Other one family household,Between 1 and 5 years,Metro
201,1989,Male,Retail Trade,Other Store-Based Retailing,Professionals,Arts and Media Professionals,More than 200,No,Other one family household,Between 1 and 5 years,Metro
194,1989,Male,Financial and Insurance Services,Finance,Professionals,ICT Professionals,More than 200,Yes,Other one family household,Between 1 and 5 years,Metro
98,1992,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,Specialist Managers,More than 200,Yes,Other one family household,Between 1 and 5 years,Metro
480,1982,Female,Public Administration and Safety,Public Administration,Managers,Specialist Managers,More than 200,Yes,Other one family household,Between 1 and 5 years,Metro
1442,1957,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 1 and 4,Yes,Single person,Between 1 and 5 years,Metro
450,1983,Female,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,ICT Professionals,Between 1 and 4,No,Single person,Between 1 and 5 years,Metro
497,1981,Female,Information Media and Telecommunications,Internet Publishing and Broadcasting,Professionals,Arts and Media Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
21,1997,Male,Manufacturing,Transport Equipment Manufacturing,Professionals,Arts and Media Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
105,1992,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro
681,1977,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,NA,Single person,Between 1 and 5 years,Metro
90,1993,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,NA,Single person,Between 1 and 5 years,Metro
1090,1966,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
209,1989,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro
281,1987,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro
952,1970,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,NA,Single person,Between 1 and 5 years,Metro
75,1994,Male,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,NA,Single person,Between 1 and 5 years,Metro
842,1972,Male,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro
59,1995,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro
938,1970,Female,"Rental, Hiring and Real Estate Services",Rental and Hiring Services (except Real Estate),Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro
820,1973,Female,Other Services,Personal and Other Services,Labourers,Cleaners and Laundry ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
87,1993,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
532,1980,Male,Other Services,Personal and Other Services,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
187,1989,Female,Education and Training,Tertiary Education,Professionals,Education Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
1332,1960,Male,Other Services,Repair and Maintenance,Technicians and trades ,Electrotechnology and Telecommunications Trades ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
360,1985,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Technicians and trades ,"Engineering, ICT and Science Technicians",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro
61,1995,Male,"Rental, Hiring and Real Estate Services",Rental and Hiring Services (except Real Estate),Technicians and trades ,"Engineering, ICT and Science Technicians",Between 20 and 199,NA,Single person,Between 1 and 5 years,Metro
19,1998,Male,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,Between 20 and 199,NA,Single person,Between 1 and 5 years,Metro
424,1984,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
1011,1968,Male,Information Media and Telecommunications,Telecommunications Services,Professionals,ICT Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
959,1969,Female,Construction,Building Construction,Clerical and administrative ,Numerical Clerks,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
1248,1962,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
374,1985,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Technicians and trades ,Other Technicians and Trades ,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro
72,1994,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
638,1978,Male,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
185,1989,Male,Retail Trade,Food Retailing,Sales ,Sales Support ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro
1152,1964,Male,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro
169,1990,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Single person,Between 1 and 5 years,Metro
24,1997,Male,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro
1485,1956,Female,Wholesale Trade,Other Goods Wholesaling,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro
9,2000,Male,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro
172,1990,Male,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Technicians and trades ,"Engineering, ICT and Science Technicians",Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro
947,1970,Male,Other Services,Personal and Other Services,Community and personal service ,Hospitality ,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro
302,1987,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,Between 5 and 19,NA,Single person,Between 1 and 5 years,Metro
257,1988,Male,Financial and Insurance Services,Finance,Clerical and administrative ,Office Managers and Program Administrators,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro
1169,1964,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro
703,1976,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Sales ,Sales Representatives and Agents,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro
688,1976,Female,Retail Trade,Other Store-Based Retailing,Managers,Specialist Managers,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro
939,1970,Female,Other Services,Personal and Other Services,Community and personal service ,Sports and Personal Service ,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro
403,1984,Female,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,I am the only employee,No,Single person,Between 1 and 5 years,Metro
133,1991,Male,Financial and Insurance Services,Finance,Technicians and trades ,Automotive and Engineering Trades ,More than 200,No,Single person,Between 1 and 5 years,Metro
66,1994,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro
815,1973,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro
537,1980,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro
1124,1965,Female,Public Administration and Safety,Public Administration,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro
384,1985,Male,Construction,Building Construction,Managers,"Chief Executives, General Managers and Legislators",More than 200,No,Single person,Between 1 and 5 years,Metro
49,1995,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,Between 1 and 5 years,Metro
393,1985,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",More than 200,NA,Single person,Between 1 and 5 years,Metro
286,1987,Female,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,Between 1 and 5 years,Metro
660,1977,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Single person,Between 1 and 5 years,Metro
1422,1958,Male,Health Care and Social Assistance,Hospitals,Clerical and administrative ,Clerical and Office Support ,More than 200,Yes,Single person,Between 1 and 5 years,Metro
749,1975,Female,Education and Training,Tertiary Education,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Single person,Between 1 and 5 years,Metro
13,1998,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro
1279,1961,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Single person,Between 1 and 5 years,Metro
682,1977,Male,Other Services,Repair and Maintenance,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,NA,Single person,Between 1 and 5 years,Metro
1276,1961,Female,Financial and Insurance Services,Finance,Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro
865,1971,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro
400,1984,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro
818,1973,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro
258,1988,Female,Retail Trade,Food Retailing,Clerical and administrative ,General Clerical ,More than 200,Yes,Single person,Between 1 and 5 years,Metro
1507,1900,Female,Health Care and Social Assistance,Hospitals,Community and personal service ,Health and Welfare Support ,More than 200,Yes,Single person,Between 1 and 5 years,Metro
1103,1965,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Single person,Between 1 and 5 years,Metro
34,1996,Male,Retail Trade,Other Store-Based Retailing,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Single person,Between 1 and 5 years,Metro
38,1996,Male,Retail Trade,Other Store-Based Retailing,Managers,"Hospitality, Retail and Service Managers",More than 200,NA,Single person,Between 1 and 5 years,Metro
268,1987,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro
155,1990,Male,Financial and Insurance Services,Finance,Professionals,ICT Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro
10,2000,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,ICT Professionals,More than 200,Yes,Single person,Between 1 and 5 years,Metro
1461,1957,Female,Other Services,Personal and Other Services,Clerical and administrative ,Inquiry Clerks and Receptionists,More than 200,No,Single person,Between 1 and 5 years,Metro
350,1985,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro
64,1994,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro
1017,1968,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro
430,1983,Female,Arts and Recreation Services,Sports and Recreation Activities,Clerical and administrative ,Numerical Clerks,More than 200,No,Single person,Between 1 and 5 years,Metro
292,1987,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Office Managers and Program Administrators,More than 200,No,Single person,Between 1 and 5 years,Metro
1213,1963,Female,Information Media and Telecommunications,Library and Other Information Services,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro
690,1976,Female,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro
697,1976,Female,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro
648,1977,Female,Information Media and Telecommunications,Library and Other Information Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Single person,Between 1 and 5 years,Metro
129,1991,Male,Financial and Insurance Services,Finance,Sales ,Sales Representatives and Agents,More than 200,No,Single person,Between 1 and 5 years,Metro
785,1974,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Sales ,Sales Representatives and Agents,More than 200,No,Single person,Between 1 and 5 years,Metro
1411,1958,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro
1013,1968,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro
289,1987,Female,Other Services,Personal and Other Services,Managers,Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro
227,1988,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro
1082,1966,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,No,Single person,Between 1 and 5 years,Metro
421,1984,Female,Construction,Building Construction,Professionals,Arts and Media Professionals,Between 1 and 4,Yes,Couple with dependent children,Between 6 and 12 months,Metro
1506,1900,Male,Construction,Heavy and Civil Engineering Construction,Technicians and trades ,Construction Trades ,Between 1 and 4,Yes,Couple with dependent children,Between 6 and 12 months,Metro
781,1974,Female,Mining,Metal Ore Mining,Professionals,"Design, Engineering, Science and Transport Professionals",Between 1 and 4,Yes,Couple with dependent children,Between 6 and 12 months,Metro
1182,1964,Male,Manufacturing,Wood Product Manufacturing,Technicians and trades ,Automotive and Engineering Trades ,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro
262,1988,Male,Wholesale Trade,Basic Material Wholesaling,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,NA,Couple with dependent children,Between 6 and 12 months,Metro
834,1972,Female,Mining,Exploration and Other Mining Support Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro
299,1987,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro
300,1987,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro
942,1970,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro
52,1995,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Technicians and trades ,"Engineering, ICT and Science Technicians",Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro
8,2000,Female,Other Services,Personal and Other Services,Technicians and trades ,"Engineering, ICT and Science Technicians",Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro
761,1974,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Health Professionals,Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro
997,1968,Male,"Transport, Postal and Warehousing",Water Transport,Sales ,Sales Representatives and Agents,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro
362,1985,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro
74,1994,Male,Construction,Building Construction,Professionals,Arts and Media Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro
460,1983,Female,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Professionals,Arts and Media Professionals,Between 5 and 19,NA,Couple with dependent children,Between 6 and 12 months,Metro
77,1994,Male,Construction,Building Construction,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,NA,Couple with dependent children,Between 6 and 12 months,Metro
178,1990,Male,Construction,Building Construction,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro
576,1979,Male,Accommodation and Food Services,Food and Beverage Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro
378,1985,Male,Retail Trade,Food Retailing,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro
455,1983,Female,Construction,Heavy and Civil Engineering Construction,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro
381,1985,Male,Construction,Heavy and Civil Engineering Construction,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro
367,1985,Male,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro
