response_id,most_significant_barrier_1,least_significant_barrier_1,most_significant_barrier_2,least_significant_barrier_2,most_significant_barrier_3,least_significant_barrier_3,most_significant_barrier_4,least_significant_barrier_4,most_significant_barrier_5,least_significant_barrier_5,most_significant_barrier_6,least_significant_barrier_6,most_significant_barrier_7,least_significant_barrier_7,most_significant_barrier_8,least_significant_barrier_8,most_significant_barrier_9,least_significant_barrier_9,most_significant_barrier_10,least_significant_barrier_10
252,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Cyber security,My organisation's software and systems
253,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Cyber security,My organisation's software and systems
254,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Cyber security,My organisation's software and systems
255,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Lack of motivation,My organisation's software and systems
256,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Lack of motivation,My organisation's software and systems
257,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Lack of motivation,My organisation's software and systems
258,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Lack of motivation,My organisation's software and systems
259,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
260,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
261,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
262,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
263,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
264,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
265,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
266,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
267,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
268,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
269,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
270,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
271,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
272,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
273,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
274,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
275,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
276,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
277,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
278,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
279,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
280,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
281,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
282,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
283,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
284,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
285,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
286,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
287,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
288,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
289,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
290,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
291,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
292,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
293,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
294,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
295,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
296,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
297,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
298,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
299,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
300,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
301,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
302,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
303,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
304,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
305,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
306,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
307,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
308,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
309,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
310,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
311,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
312,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
313,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
314,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Cyber security,Feeling left out and/or isolated,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,I have tasks that can't be done remotely,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,My organisation's software and systems
