response_id,remote_work_time_last_year,org_encouraged_remote_last_year,org_prepared_remote_last_year,remote_common_last_year,remote_permission_last_year,remote_collaboration_last_year,recommend_remote_last_year,preferred_remote_time_last_year,remote_work_time_last_3_months,org_encouraged_remote_3_months,org_prepared_remote_3_months,remote_common_3_months,remote_permission_3_months
415,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
416,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
417,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
418,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
419,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
420,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
421,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
422,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
423,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree
424,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
425,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
426,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
427,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
428,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
429,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
430,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
431,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
432,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
433,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
434,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
435,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree
436,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
437,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
438,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree
439,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
440,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
441,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
442,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
443,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
444,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree
445,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
446,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree
447,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
448,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
449,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree
450,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
451,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
452,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
453,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
454,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
455,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
456,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
457,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
458,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
459,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
460,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
461,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,NA,NA
462,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
463,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree
464,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
465,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
466,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
467,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
468,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
469,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
470,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
471,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
472,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
473,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
474,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
475,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
476,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
477,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
478,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
479,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
480,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
481,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
482,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
483,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
484,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
485,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
486,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
487,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
488,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
489,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
490,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
491,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
492,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
493,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
494,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
495,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
496,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
497,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
498,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
499,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
500,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
501,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
502,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
503,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
504,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
505,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
506,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
507,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
508,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
509,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
510,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
511,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
512,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
513,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
514,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
515,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
516,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
517,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree
518,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
519,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
520,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
521,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
522,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
523,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
524,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,NA,NA
525,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree
526,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
527,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
528,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
529,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
530,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
531,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
532,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
533,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
534,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
535,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
536,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
537,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
538,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
539,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
540,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
541,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
542,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
543,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
544,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
545,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
546,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
547,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,NA,NA
548,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
549,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
550,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
551,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
552,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
